LATITUDE,LONGITUDE,DATE(IST),AIR_TEMPERATURE,SOIL_TEMPERATURE,SOIL_MOISTURE,RAINFALL
16.779,75.75,7/12/2015,18.4,26.0,7.5,69.0
16.779,75.75,8/12/2015,17.1,25.7,7.4,69.0
16.779,75.75,9/12/2015,17.35,25.8,7.3,69.0
16.779,75.75,10/12/2015,21.0,26.5,7.3,69.0
16.779,75.75,11/12/2015,24.75,28.5,7.3,69.0
16.779,75.75,12/12/2015,24.2,28.5,7.2,69.0
16.779,75.75,13/12/2015,22.85,28.9,7.2,69.0
16.779,75.75,14/12/2015,25.85,29.1,7.1,69.0
16.779,75.75,15/12/2015,24.7,29.1,7.0,69.0
16.779,75.75,16/12/2015,21.35,28.5,6.9,69.0
16.779,75.75,17/12/2015,24.55,28.3,6.9,69.0
16.779,75.75,18/12/2015,21.15,28.5,6.8,69.0
16.779,75.75,19/12/2015,21.25,28.5,6.8,69.0
16.779,75.75,20/12/2015,21.4,28.5,6.7,69.0
16.779,75.75,21/12/2015,20.25,28.5,6.7,69.0
16.779,75.75,22/12/2015,24.9,29.0,6.7,69.0
16.779,75.75,23/12/2015,20.5,28.3,6.6,69.0
16.779,75.75,24/12/2015,19.15,28.0,6.6,69.0
16.779,75.75,25/12/2015,20.9,27.1,6.5,69.0
16.779,75.75,26/12/2015,17.9,25.7,6.4,69.0
16.779,75.75,27/12/2015,16.35,25.1,6.4,69.0
16.779,75.75,28/12/2015,14.45,24.1,6.3,69.0
16.779,75.75,29/12/2015,16.55,24.8,6.3,69.0
16.779,75.75,30/12/2015,16.9,25.3,6.3,69.0
16.779,75.75,31/12/2015,17.0,25.5,6.3,69.0
16.779,75.75,1/1/2016,19.2,25.7,6.3,69.0
16.779,75.75,2/1/2016,16.2,24.0,6.2,69.0
16.779,75.75,3/1/2016,17.15,26.1,6.3,69.0
16.779,75.75,4/1/2016,17.35,26.3,6.3,69.0
16.779,75.75,5/1/2016,17.4,26.2,6.2,69.0
16.779,75.75,6/1/2016,19.05,26.4,6.2,69.0
16.779,75.75,7/1/2016,17.9,26.3,6.2,69.0
16.779,75.75,8/1/2016,17.3,25.8,6.2,69.0
16.779,75.75,9/1/2016,17.65,26.0,6.2,69.0
16.779,75.75,10/1/2016,17.2,25.8,6.2,69.0
16.779,75.75,11/1/2016,16.75,25.3,6.1,69.0
16.779,75.75,12/1/2016,16.9,25.4,6.1,69.0
16.779,75.75,13/1/2016,16.75,25.5,6.1,69.0
16.779,75.75,14/1/2016,17.6,25.8,6.1,69.0
16.779,75.75,15/1/2016,17.8,25.7,6.1,69.0
16.779,75.75,16/1/2016,19.6,25.2,6.1,69.0
16.779,75.75,17/1/2016,22.5,26.0,6.1,69.0
16.779,75.75,18/1/2016,20.95,26.7,6.2,69.0
